filename,instrument_name,fundamental_freq,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,zcr,energy
harmonica9.wav,harmonica,0.2400000000000001,-230.53581,-32.706882,-44.58938,-9.35395,-27.497803,-11.6879225,-3.9253182,-13.642541,-8.254312,-3.9902034,8.125445,16.361227,-3.4877605,4077.356202989858,0.26722811808628316,861.3451
saxophone1.wav,saxophone,0.06,-183.43347,30.954882,-27.244755,26.41705,3.5099175,0.6805062,-1.034484,-5.4801064,-15.069232,4.1543283,-17.929354,6.2002764,-5.459497,2762.4258808060113,0.12955729166666666,1469.8458
saxophone10.wav,saxophone,-0.44,-203.50746,3.299414,-60.814915,3.2247214,-35.670433,-18.684298,-27.157509,-17.950106,-25.072237,-12.56795,-20.523878,-5.3174305,-17.63325,2777.9185093449246,0.13352933843085107,632.3398
saxophone3.wav,saxophone,0.3400000000000001,-276.48138,18.681404,-57.39801,13.001013,-26.177168,-19.66041,-16.523457,-17.738506,-23.92614,-4.9233365,-10.88158,-4.741636,-13.472458,2773.5217515012596,0.13440980302526595,766.4336
saxophone4.wav,saxophone,0.2300000000000001,-280.80594,27.952017,-57.05795,3.4473274,-35.609367,-18.660936,-21.583214,-19.102839,-24.66867,-14.769269,-22.100872,-5.6655235,-12.774812,2336.514670392508,0.09857827044547872,677.73914
saxophone5.wav,saxophone,-0.07,-266.56387,13.244003,-53.130756,4.702476,-29.422544,-19.365429,-24.639923,-18.227537,-20.211752,-7.7284775,-16.476442,4.461818,-5.1428857,2629.2935899787576,0.11252025847739362,1016.48694
saxophone6.wav,saxophone,0.050000000000000044,-198.0175,8.475733,-67.10763,0.27880552,-39.974686,-24.955608,-26.945585,-20.528713,-26.89051,-10.2311945,-20.51749,-5.4323254,-18.874706,2592.4308074654496,0.12325205701462766,1255.3647
saxophone8.wav,saxophone,0.2400000000000001,-314.39584,41.338833,-27.7289,13.2523985,-21.439707,-15.193905,-12.185262,-14.967423,-20.427322,-9.387967,-13.90987,-4.3587155,-11.88398,2683.210463071558,0.09560962433510638,663.35187
saxophone9.wav,saxophone,-0.04999999999999993,-260.19983,26.865387,-64.354034,5.1076612,-32.25713,-25.727903,-14.677483,-18.110249,-25.27016,-8.419727,-15.386762,-10.10611,-10.939002,2468.0878659410614,0.11733943858045212,1905.6268
shakuhachi1.wav,shakuhachi,0.38,-202.97093,52.37551,-28.911873,-20.726805,-34.025883,-25.905197,-32.721764,-8.468586,-4.696401,21.125513,7.26924,-0.67488664,-23.881073,1678.7258596335341,0.07322702348602485,15317.5625
shakuhachi2.wav,shakuhachi,-0.10999999999999999,-188.05164,-17.561749,-54.93443,-64.61567,-41.221027,-26.284893,-12.645051,-11.714285,-18.14688,-6.4562917,8.429653,29.909441,23.932175,2512.534509825214,0.06946084665697674,12962.417
trumpet10.wav,trumpet,0.13,-421.71777,74.423035,-77.47048,-39.475655,-17.192965,-23.15352,-13.109964,-6.5172205,-11.111787,-7.685524,-7.222381,-10.010211,-6.7987285,1790.766461673685,0.11708347486413044,569.1923
trumpet11.wav,trumpet,0.040000000000000036,-435.72543,53.256145,-102.2181,-18.946663,-18.026554,-30.025887,-21.012106,-12.256443,-23.647474,-8.776965,-4.167769,-0.95753664,7.595444,1696.8679768418826,0.11430770210597826,520.6332
trumpet2.wav,trumpet,0.49,-449.81628,56.97781,-70.69959,-22.93729,-16.901485,-19.86859,-16.608906,-10.311954,-16.614918,-9.150033,-7.1259723,-6.253747,-3.6658554,2496.046639170391,0.16904933763586957,486.57266
trumpet3.wav,trumpet,-0.23000000000000004,-493.76135,65.689835,-66.36491,-27.52199,-11.421894,-20.830359,-20.254564,-12.009777,-17.118778,-13.242347,-12.592668,-13.035459,-8.601668,2265.622535748044,0.14100288722826088,257.46582
trumpet4.wav,trumpet,0.48,-462.1269,76.89184,-65.39759,-31.943983,-10.370832,-19.800888,-17.410044,-10.462495,-18.389933,-10.960859,-9.474249,-12.550152,-10.539706,2360.454230129905,0.1543754245923913,812.8146
trumpet5.wav,trumpet,-0.14999999999999997,-378.90823,86.56695,-115.51698,-35.029648,-25.903399,-35.354156,-30.220575,-17.515928,-25.477037,-19.347723,-19.355593,-16.601982,-1.4447206,1546.230041417978,0.09720193614130435,360.92636
trumpet6.wav,trumpet,0.02999999999999997,-436.1389,51.99375,-77.66067,-21.851095,-18.1906,-19.34274,-19.690948,-12.524755,-19.126047,-11.19365,-8.315924,-4.6562386,-0.060984734,2408.0690561137444,0.1515518851902174,686.32776
trumpet7.wav,trumpet,-0.09999999999999998,-475.8768,27.78314,-40.426945,-24.371462,-15.592848,-14.744019,-5.6498494,6.810491,8.578953,11.552508,4.3474784,-6.57605,-9.09314,2807.427963078353,0.18058338994565218,508.15628
trumpet8.wav,trumpet,-0.10999999999999993,-393.64526,88.36588,-97.740814,-38.9352,-19.299479,-33.978153,-28.4774,-18.952538,-26.037842,-19.075285,-10.437283,-7.526829,2.4047706,1443.3391946553108,0.08693104619565217,417.3058
